 529 1  -nan  -nan  1.000  -nan  -nan  -nan  1.000  -nan  -nan  -nan  -nan  -nan  -nan  1.000  -nan  -nan 
 1164 1  -nan  0.000  0.219  0.000  0.000  -nan  0.125  0.000  0.000  0.000  -nan  0.000  0.000  0.143  0.125  -nan 
 1165 1  -nan  0.000  0.219  0.000  0.000  -nan  0.120  0.000  0.000  0.000  -nan  0.000  0.000  0.143  0.120  -nan 
 1190 1  -nan  0.000  0.219  0.000  0.000  -nan  0.115  0.000  0.000  0.000  -nan  0.000  0.000  0.143  0.120  -nan 
 1194 1  -nan  0.000  0.219  0.000  0.000  -nan  0.107  0.000  0.000  0.000  -nan  0.000  0.000  0.143  0.115  -nan 
 1207 1  -nan  0.000  0.212  0.000  0.000  -nan  0.103  0.000  0.000  0.000  -nan  0.000  0.000  0.143  0.111  -nan 
 1225 1  -nan  0.000  0.212  0.000  0.000  -nan  0.103  0.000  0.000  0.000  -nan  0.000  0.000  0.143  0.111  -nan 
 1245 1  -nan  0.000  0.212  0.000  0.000  -nan  0.100  0.000  0.000  0.000  -nan  0.000  0.000  0.125  0.111  -nan 
 1247 1  -nan  0.000  0.200  0.000  0.000  -nan  0.100  0.000  0.000  0.000  -nan  0.000  0.000  0.111  0.111  -nan 
 1252 1  -nan  0.000  0.200  0.000  0.000  -nan  0.100  0.000  0.000  0.000  -nan  0.000  0.000  0.111  0.107  -nan 
 1262 1  -nan  0.000  0.200  0.000  0.000  -nan  0.100  0.000  0.000  0.000  -nan  0.000  0.000  0.111  0.103  -nan 
 1271 1  -nan  0.000  0.200  0.000  0.000  -nan  0.097  0.000  0.000  0.000  -nan  0.000  0.000  0.111  0.100  -nan 
 1289 1  -nan  0.000  0.200  0.000  0.000  -nan  0.097  0.000  0.000  0.000  -nan  0.000  0.000  0.111  0.094  -nan 
 1311 1  -nan  0.000  0.200  0.000  0.000  -nan  0.091  0.000  0.000  0.000  -nan  0.000  0.000  0.111  0.091  -nan 
 1317 1  -nan  0.000  0.200  0.000  0.000  -nan  0.086  0.000  0.000  0.000  -nan  0.000  0.000  0.111  0.091  -nan 
 1327 1  -nan  0.000  0.200  0.000  0.000  -nan  0.086  0.000  0.000  0.000  -nan  0.000  0.000  0.111  0.091  -nan 
 1329 1  -nan  0.000  0.189  0.000  0.000  -nan  0.086  0.000  0.000  0.000  -nan  0.000  0.000  0.111  0.091  -nan 
