 256  0.107  0.079  -0.797  -0.061  -1.042  -0.818  |  0.000  0.000  0.000  0.000  0.000  0.000  |  0.258  0.257  0.258  0.258 
 261  0.108  0.080  -0.936  -0.072  -1.056  -1.040  |  0.043  0.032  -0.319  -0.024  -0.417  -0.327  |  0.258  0.257  0.258  0.258 
 271  0.106  0.076  -0.982  -0.068  -1.095  -1.016  |  0.065  0.048  -0.534  -0.041  -0.631  -0.580  |  0.258  0.257  0.258  0.258 
 286  0.114  0.101  -0.908  -0.034  -1.053  -0.980  |  0.085  0.062  -0.739  -0.054  -0.858  -0.778  |  0.258  0.257  0.258  0.259 
 326  0.103  0.077  -0.855  -0.027  -1.073  -1.046  |  0.110  0.087  -0.906  -0.054  -1.060  -0.967  |  0.258  0.257  0.258  0.259 
 335  0.103  0.123  -1.047  0.013  -1.127  -1.195  |  0.107  0.082  -0.907  -0.045  -1.070  -1.026  |  0.258  0.257  0.259  0.259 
 361  0.116  0.146  -1.181  0.020  -1.196  -1.196  |  0.106  0.100  -0.968  -0.021  -1.095  -1.086  |  0.259  0.257  0.259  0.259 
 400  0.107  0.141  -1.070  -0.012  -1.104  -1.162  |  0.110  0.119  -1.034  -0.002  -1.129  -1.123  |  0.258  0.257  0.259  0.259 
 415  0.102  0.134  -1.163  0.013  -1.167  -1.071  |  0.107  0.125  -1.044  -0.004  -1.121  -1.152  |  0.258  0.257  0.259  0.259 
 459  0.098  0.119  -0.959  -0.012  -1.113  -1.053  |  0.106  0.135  -1.125  0.009  -1.152  -1.139  |  0.258  0.257  0.259  0.259 
 478  0.095  0.121  -1.027  -0.033  -1.155  -1.064  |  0.104  0.131  -1.066  -0.001  -1.139  -1.107  |  0.259  0.256  0.259  0.259 
 493  0.092  0.126  -1.003  -0.029  -1.147  -1.088  |  0.100  0.127  -1.049  -0.015  -1.139  -1.083  |  0.259  0.256  0.259  0.259 
