 256  0.037  -0.529  -0.070  -0.573  -0.113  0.499  |  0.000  0.000  0.000  0.000  0.000  0.000  |  0.258  0.257  0.258  0.258 
 261  0.042  -0.512  -0.170  -0.566  -0.215  0.349  |  0.015  -0.211  -0.028  -0.229  -0.045  0.200  |  0.258  0.257  0.258  0.258 
 271  0.042  -0.502  -0.031  -0.545  -0.074  0.510  |  0.024  -0.311  -0.082  -0.341  -0.109  0.239  |  0.258  0.257  0.258  0.258 
 286  0.034  -0.519  -0.080  -0.554  -0.111  0.459  |  0.033  -0.409  -0.060  -0.446  -0.095  0.374  |  0.258  0.257  0.258  0.259 
 326  -0.012  -0.495  -0.118  -0.469  -0.079  0.470  |  0.038  -0.516  -0.086  -0.558  -0.125  0.455  |  0.258  0.257  0.258  0.259 
 335  -0.009  -0.480  -0.219  -0.464  -0.208  0.332  |  0.019  -0.505  -0.103  -0.521  -0.112  0.452  |  0.258  0.257  0.259  0.259 
 361  -0.025  -0.419  -0.139  -0.391  -0.072  0.425  |  0.009  -0.495  -0.133  -0.499  -0.136  0.421  |  0.259  0.257  0.259  0.259 
 400  -0.025  -0.462  -0.229  -0.419  -0.186  0.310  |  -0.007  -0.466  -0.139  -0.454  -0.109  0.422  |  0.258  0.257  0.259  0.259 
 415  -0.026  -0.444  -0.184  -0.387  -0.146  0.303  |  -0.019  -0.463  -0.187  -0.433  -0.146  0.369  |  0.258  0.257  0.259  0.259 
 459  -0.001  -0.396  -0.264  -0.392  -0.229  0.318  |  -0.022  -0.450  -0.191  -0.410  -0.152  0.334  |  0.258  0.257  0.259  0.259 
 478  0.009  -0.397  -0.356  -0.397  -0.370  0.079  |  -0.016  -0.423  -0.216  -0.396  -0.173  0.335  |  0.259  0.256  0.259  0.259 
 493  -0.008  -0.334  -0.359  -0.316  -0.361  0.064  |  -0.007  -0.419  -0.278  -0.399  -0.261  0.218  |  0.259  0.256  0.259  0.259 
 563  0.008  -0.332  -0.405  -0.346  -0.410  0.001  |  -0.007  -0.381  -0.304  -0.362  -0.294  0.166  |  0.259  0.268  0.251  0.252 
 571  0.003  -0.328  -0.415  -0.326  -0.404  -0.022  |  0.003  -0.358  -0.358  -0.360  -0.356  0.093  |  0.255  0.272  0.251  0.251 
 583  0.004  -0.339  -0.397  -0.337  -0.377  -0.055  |  0.003  -0.344  -0.390  -0.342  -0.390  0.020  |  0.255  0.272  0.251  0.251 
 591  0.035  -0.233  -0.283  -0.289  -0.333  -0.124  |  0.003  -0.334  -0.395  -0.333  -0.386  -0.013  |  0.255  0.273  0.250  0.251 
 594  0.023  -0.258  -0.277  -0.296  -0.313  -0.106  |  0.017  -0.293  -0.357  -0.318  -0.371  -0.065  |  0.255  0.273  0.250  0.251 
 607  0.020  -0.256  -0.224  -0.278  -0.218  -0.013  |  0.018  -0.283  -0.330  -0.309  -0.348  -0.083  |  0.259  0.273  0.246  0.251 
 651  0.001  -0.247  -0.231  -0.251  -0.212  -0.053  |  0.020  -0.268  -0.281  -0.296  -0.291  -0.062  |  0.260  0.272  0.242  0.255 
 682  -0.025  -0.230  -0.418  -0.216  -0.398  -0.245  |  0.016  -0.248  -0.249  -0.273  -0.257  -0.070  |  0.257  0.265  0.248  0.261 
