 500 3  -nan  -nan  -nan  -nan  -nan  -nan  -nan  1.000  -nan  -nan  -nan  -nan  -nan  -nan  -nan  -nan 
 1114 3  -nan  1.000  0.043  0.043  0.000  -nan  0.000  0.107  0.000  -nan  -nan  0.381  0.000  0.000  0.000  -nan 
 1146 3  -nan  1.000  0.042  0.043  0.000  -nan  0.000  0.107  0.000  -nan  -nan  0.381  0.000  0.000  0.000  -nan 
 1149 3  -nan  1.000  0.040  0.040  0.000  -nan  0.000  0.107  0.000  -nan  -nan  0.381  0.000  0.000  0.000  -nan 
 1156 3  -nan  1.000  0.040  0.037  0.000  -nan  0.000  0.107  0.000  -nan  -nan  0.381  0.000  0.000  0.000  -nan 
 1158 3  -nan  1.000  0.040  0.034  0.000  -nan  0.000  0.107  0.000  -nan  -nan  0.364  0.000  0.000  0.000  -nan 
 1201 3  -nan  1.000  0.038  0.034  0.000  -nan  0.000  0.107  0.000  -nan  -nan  0.364  0.000  0.000  0.000  -nan 
 1202 3  -nan  1.000  0.038  0.033  0.000  -nan  0.000  0.107  0.000  -nan  -nan  0.364  0.000  0.000  0.000  -nan 
 1217 3  -nan  1.000  0.038  0.032  0.000  -nan  0.000  0.107  0.000  -nan  -nan  0.348  0.000  0.000  0.000  -nan 
 1220 3  -nan  1.000  0.038  0.031  0.000  -nan  0.000  0.107  0.000  -nan  -nan  0.348  0.000  0.000  0.000  -nan 
 1227 3  -nan  1.000  0.037  0.030  0.000  -nan  0.000  0.107  0.000  -nan  -nan  0.348  0.000  0.000  0.000  -nan 
 1228 3  -nan  1.000  0.037  0.029  0.000  -nan  0.000  0.107  0.000  -nan  -nan  0.348  0.000  0.000  0.000  -nan 
 1258 3  -nan  1.000  0.037  0.057  0.000  -nan  0.000  0.107  0.000  -nan  -nan  0.375  0.000  0.000  0.000  -nan 
 1261 3  -nan  1.000  0.036  0.057  0.000  -nan  0.000  0.107  0.000  -nan  -nan  0.375  0.000  0.000  0.000  -nan 
 1267 3  -nan  1.000  0.036  0.056  0.000  -nan  0.000  0.107  0.000  -nan  -nan  0.375  0.000  0.000  0.000  -nan 
 1270 3  -nan  1.000  0.036  0.054  0.000  -nan  0.000  0.107  0.000  -nan  -nan  0.360  0.000  0.000  0.000  -nan 
 1278 3  -nan  1.000  0.034  0.054  0.000  -nan  0.000  0.103  0.000  -nan  -nan  0.360  0.000  0.000  0.000  -nan 
 1283 3  -nan  1.000  0.033  0.054  0.000  -nan  0.000  0.103  0.000  0.000  -nan  0.360  0.000  0.000  0.000  -nan 
 1288 3  -nan  1.000  0.032  0.054  0.000  -nan  0.000  0.103  0.000  0.000  -nan  0.360  0.000  0.000  0.000  -nan 
 1290 3  -nan  1.000  0.032  0.053  0.000  -nan  0.000  0.103  0.000  0.000  -nan  0.360  0.000  0.000  0.000  -nan 
 1296 3  -nan  1.000  0.032  0.051  0.000  -nan  0.000  0.103  0.000  0.000  -nan  0.346  0.000  0.000  0.000  -nan 
 1303 3  -nan  1.000  0.031  0.050  0.000  -nan  0.000  0.103  0.000  0.000  -nan  0.346  0.000  0.000  0.000  -nan 
 1326 3  -nan  1.000  0.031  0.050  0.000  -nan  0.000  0.103  0.000  0.000  -nan  0.370  0.000  0.000  0.000  -nan 
 1331 3  -nan  1.000  0.031  0.050  0.000  -nan  0.000  0.103  0.000  0.000  -nan  0.370  0.000  0.000  0.000  -nan 
