 256  -0.062  0.028  -0.997  0.092  -1.000  -1.111  |  0.000  0.000  0.000  0.000  0.000  0.000  |  0.258  0.257  0.258  0.258 
 261  -0.066  0.054  -0.994  0.121  -0.886  -1.146  |  -0.025  0.011  -0.399  0.037  -0.400  -0.444  |  0.258  0.257  0.258  0.258 
 271  -0.065  0.058  -0.932  0.122  -0.801  -0.976  |  -0.039  0.027  -0.597  0.067  -0.555  -0.681  |  0.258  0.257  0.258  0.258 
 286  -0.078  0.026  -0.953  0.083  -0.704  -1.004  |  -0.052  0.040  -0.771  0.091  -0.698  -0.842  |  0.258  0.257  0.258  0.259 
 326  -0.057  0.001  -0.923  0.084  -0.952  -1.030  |  -0.070  0.039  -0.966  0.100  -0.819  -1.048  |  0.258  0.257  0.258  0.259 
 335  -0.055  0.006  -0.948  0.076  -0.890  -1.016  |  -0.065  0.028  -0.945  0.099  -0.859  -1.037  |  0.258  0.257  0.259  0.259 
 361  -0.050  -0.001  -0.919  0.091  -0.887  -0.908  |  -0.062  0.019  -0.941  0.088  -0.847  -1.008  |  0.259  0.257  0.259  0.259 
 400  -0.042  0.031  -0.983  0.083  -0.922  -1.167  |  -0.058  0.006  -0.932  0.085  -0.864  -0.973  |  0.258  0.257  0.259  0.259 
 415  -0.037  0.045  -0.934  0.098  -0.777  -1.046  |  -0.049  0.013  -0.951  0.084  -0.915  -1.057  |  0.258  0.257  0.259  0.259 
 459  -0.032  0.005  -0.875  0.024  -0.814  -1.071  |  -0.044  0.025  -0.943  0.089  -0.851  -1.036  |  0.258  0.257  0.259  0.259 
 478  -0.033  -0.026  -0.947  -0.004  -0.872  -1.146  |  -0.039  0.017  -0.917  0.064  -0.843  -1.052  |  0.259  0.256  0.259  0.259 
 493  -0.027  -0.018  -0.813  0.007  -0.824  -1.088  |  -0.035  0.006  -0.937  0.039  -0.851  -1.115  |  0.259  0.256  0.259  0.259 
 563  -0.022  -0.004  -0.867  0.007  -0.889  -1.081  |  -0.031  -0.002  -0.876  0.026  -0.822  -1.088  |  0.259  0.268  0.251  0.252 
 571  -0.021  -0.004  -0.853  0.001  -0.835  -1.019  |  -0.027  -0.009  -0.874  0.008  -0.858  -1.093  |  0.255  0.272  0.251  0.251 
 583  -0.021  -0.003  -0.855  0.007  -0.726  -0.985  |  -0.025  -0.011  -0.866  0.003  -0.851  -1.070  |  0.255  0.272  0.251  0.251 
 591  -0.022  0.005  -1.006  0.021  -0.909  -1.098  |  -0.022  -0.007  -0.849  0.006  -0.800  -1.031  |  0.255  0.273  0.250  0.251 
 594  -0.023  0.002  -0.915  0.016  -0.846  -1.068  |  -0.022  -0.001  -0.918  0.011  -0.854  -1.056  |  0.255  0.273  0.250  0.251 
 607  -0.018  0.003  -1.020  0.019  -0.998  -1.095  |  -0.022  0.000  -0.909  0.012  -0.833  -1.047  |  0.259  0.273  0.246  0.251 
 651  -0.017  -0.042  -0.828  -0.053  -0.769  -0.794  |  -0.020  0.002  -0.963  0.017  -0.895  -1.068  |  0.260  0.272  0.242  0.255 
